Time, Position
36121,0.0,
71153,297.1132,
106188,594.2433,
141222,362.508,
176290,196.2995,
211369,436.2958,
246461,436.1342,
281550,213.7484,
316066,296.992,
351174,414.1505,
386359,278.2694,
421592,225.9527,
456206,344.833,
491391,321.7856,
526592,213.05,
561226,273.9556,
596429,321.6576,
631629,234.7698,
666263,229.8289,
701461,286.949,
736665,260.8553,
771315,216.4196,
806529,247.6156,
841169,265.1413,
876380,221.6578,
911595,221.6389,
946235,251.8188,
981461,230.1868,
1016684,212.8807,
1051343,229.6896
