Time Left,Velocity Left,Time Right,Velocity Right
71308.0,0.05346547,72040.0,0.04824933
106417.0,265.9206,107168.0,274.5689
140950.0,607.212,141706.0,607.0889
176100.0,727.1216,176860.0,709.6246
211255.0,718.3113,212019.0,696.4651
246421.0,635.3618,247191.0,617.8843
280990.0,495.8754,281763.0,473.6833
316178.0,317.5544,316955.0,304.4091
351378.0,152.1743,352164.0,139.1149
385984.0,26.53558,386776.0,26.53098
421207.0,-21.72499,421996.0,-4.344626
456420.0,-17.38196,457214.0,0.0
491040.0,0.0,491838.0,4.420298
526276.0,0.0,527079.0,21.71389
560916.0,26.50953,561723.0,53.01142
596167.0,56.44009,596978.0,78.13895
631428.0,86.80135,632245.0,99.8159
666092.0,101.5495,666911.0,114.7752
701366.0,117.142,702190.0,117.132
736046.0,119.1587,736873.0,119.1381
771339.0,121.422,772171.0,117.069
806037.0,114.676,806873.0,105.8456
841346.0,112.6947,842186.0,104.0141
876059.0,105.8121,876903.0,96.98323
911385.0,103.9729,912233.0,99.63224
946115.0,96.94972,946968.0,96.93576
981458.0,99.59278,982316.0,95.24649
1016206.0,96.90229,1017067.0,96.89392
1050959.0,96.88276,1051824.0,101.2749
1086329.0,95.19263,1087337.0,99.11602
