Time Left,Velocity Left,Time Right,Velocity Right
71520.0,1.458095,72393.0,1.294222
106261.0,246.6178,107135.0,259.8893
141622.0,575.8409,142514.0,571.2366
176403.0,712.835,177300.0,673.1558
211194.0,730.205,212095.0,699.3127
246599.0,726.2479,247504.0,695.9089
281403.0,716.7613,282312.0,690.2982
316217.0,712.1389,317130.0,685.6846
351646.0,708.4561,352564.0,682.4598
386480.0,707.3569,387403.0,676.5052
421324.0,707.1539,422250.0,680.7222
456174.0,702.6205,457104.0,676.1946
491636.0,699.1848,492570.0,677.5285
526503.0,702.298,527442.0,671.457
561377.0,693.3801,562320.0,671.3799
596257.0,693.2608,597204.0,666.858
631149.0,693.0026,632100.0,662.224
666653.0,689.7164,667609.0,663.7586
701559.0,688.3599,702519.0,657.6123
736477.0,688.1234,737441.0,661.7309
771402.0,688.0052,772370.0,652.8541
806334.0,683.486,807305.0,652.7419
841278.0,678.852,842254.0,648.1014
876229.0,683.0753,877209.0,652.3685
911186.0,678.5801,912170.0,647.8604
946156.0,673.9708,947145.0,638.868
981133.0,673.8552,982125.0,638.7767
1016721.0,670.886,1017718.0,636.3922
1051714.0,669.1733,1052714.0,634.1114
1086713.0,664.6667,1087862.0,627.0325
